Number of deaths from earthquakes,Number of people injured from earthquakes,Number of people affected by earthquakes,Number of people left homeless from earthquakes,Number of total people affected by earthquakes,Reconstruction costs from earthquakes,Insured damages against earthquakes,Total economic damages from earthquakes,Death rates from earthquakes,Injury rates from earthquakes,"Number of people affected by earthquakes per 100,000",Homelessness rate from earthquakes,"Total number of people affected by earthquakes per 100,000",Total economic damages from earthquakes as a share of GDP,Entity,Year
210,200,0,0,200,,,,2.572748457,2.381235861,0,0,2.381235861,,Afghanistan,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Afghanistan,1960
6.1,1.5,9000,0,9001.5,0,0,0,0.04796007,0.012721567,69.53565634,0,69.54837791,0,Afghanistan,1970
51.3,351.8,6244,658,7253.8,0,0,900,0.398498668,2.742558185,49.05305337,5.24804594,57.04365749,0,Afghanistan,1980
742.6,358.3,27168.5,7702.5,35229.3,0,0,2001,3.814559032,1.835905817,146.6656852,38.70140997,187.203001,0,Afghanistan,1990
123.6,151.2,9074,1569.5,10794.7,0,0,5,0.544497296,0.66248279,40.07487217,6.585321045,47.322676,0.0000805,Afghanistan,2000
21.7,5830.5,339,3627.5,9797,0,0,0,0.066190219,16.94865916,1.050511311,10.59994752,28.59911799,0,Afghanistan,2010
10,0,0,0,0,,,,0.00749502,0,0,0,0,,Africa,1900
1.2,0,0,0,0,,,,0.000845406,0,0,0,0,,Africa,1910
1.2,0,0,0,0,,,,0.000767336,0,0,0,0,,Africa,1920
2.2,13,0,750,763,,,,0.001170074,0.006914071,0,0.398888724,0.405802795,,Africa,1930
27.6,0,0,0,0,,,,0.013020387,0,0,0,0,,Africa,1940
128.3,502.8,0,12925,13427.8,,,,0.051827036,0.203283229,0,5.226234196,5.429517426,,Africa,1950
1257.7,2703.1,4650,1940.5,9293.6,0,0,15302,0.44206693,0.944881312,1.44368813,0.615953911,3.004523354,0.044271497,Africa,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa,1970
297,1015.3,51609.3,49320,101944.6,0,0,523000,0.061644162,0.209079736,10.72291036,10.11760402,21.04959412,0.149832672,Africa,1980
79.9,1059,13045,4027,18131,0,0,133092.9,0.01180623,0.158566864,1.922654285,0.569793642,2.651014791,0.026343433,Africa,1990
333.5,1303.6,13461,23910.4,38675,0,1000,565700,0.037906203,0.147837837,1.487942013,2.703844838,4.339624689,0.071912522,Africa,2000
3.1,89.2,15142.1,69,15300.3,0,0,45800,0.000259232,0.007542795,1.253537534,0.005709536,1.266789865,0.002084165,Africa,2010
12,0,0,0,0,,,,1.395277451,0,0,0,0,,Albania,1900
0,0,0,0,0,,,,0,0,0,0,0,,Albania,1910
20,0,0,0,0,,,,2.074779192,0,0,0,0,,Albania,1920
15,10.8,294,0,304.8,,,,1.471603312,1.062998404,28.93717876,0,30.00017717,,Albania,1930
4.3,11,0,0,11,,,,0.373879232,0.956435244,0,0,0.956435244,,Albania,1940
0,0,0,0,0,,,,0,0,0,0,0,,Albania,1950
2.6,28.8,0,0,28.8,0,0,2000,0.141333613,1.556411117,0,0,1.556411117,0,Albania,1960
3.5,35,0,0,35,0,0,0,0.133181126,1.331811263,0,0,1.331811263,0,Albania,1970
0.1,0.5,69,500,569.5,0,0,500,0.003584229,0.017921147,2.155576382,17.92114695,20.09464448,0,Albania,1980
0,0,210,0,210,0,0,0,0,0,6.75024108,0,6.75024108,0,Albania,1990
0,0,0,15,15,0,0,0,0,0,0,0.504540868,0.504540868,0,Albania,2000
5.1,102.5,20680,0,20782.5,0,0,74500,0.177021867,3.557792433,717.8063173,0,721.3641097,0.487354537,Albania,2010
1.2,0,0,0,0,,,,0.022205589,0,0,0,0,,Algeria,1910
0,0,0,0,0,,,,0,0,0,0,0,,Algeria,1920
0,0,0,0,0,,,,0,0,0,0,0,,Algeria,1930
27.6,0,0,0,0,,,,0.328243732,0,0,0,0,,Algeria,1940
125,500,0,12925,13425,,,,1.307531381,5.230125523,0,135.1987448,140.4288703,,Algeria,1950
6.9,36.5,3700,1345,5081.5,0,0,200,0.060672847,0.290161677,29.47972273,10.84205362,40.61193803,0.006377025,Algeria,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,1970
268.6,861.7,49409.3,44320,94591,0,0,520200,1.392341847,4.453418569,255.2691876,230.5469151,490.2695213,1.228290406,Algeria,1980
19.3,46.4,1475,1500,3021.4,0,0,6092.9,0.067792351,0.159578006,5.262894643,4.898279071,10.32075172,0.012526353,Algeria,1990
227.9,1078.5,16,20015,21109.5,0,0,500000,0.706309283,3.341342569,0.047561012,62.03318255,65.42208613,0.736769376,Algeria,2000
0.6,42,0,0,42,0,0,0,0.001541465,0.107902579,0,0,0.107902579,0,Algeria,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,American Samoa,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,American Samoa,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,American Samoa,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,American Samoa,1990
3.4,0,250,0,250,0,0,0,5.964912281,0,438.5964912,0,438.5964912,0,American Samoa,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angola,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angola,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angola,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angola,2010
0,0,0,0,0,,,,0,0,0,0,0,,Anguilla,1910
0,0,0,0,0,,,,0,0,0,0,0,,Anguilla,1920
0,0,0,0,0,,,,0,0,0,0,0,,Anguilla,1930
0,0,0,0,0,,,,0,0,0,0,0,,Anguilla,1940
0,0,0,0,0,,,,0,0,0,0,0,,Anguilla,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anguilla,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anguilla,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anguilla,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anguilla,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anguilla,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anguilla,2010
0,0,0,0,0,,,,0,0,0,0,0,,Antigua and Barbuda,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antigua and Barbuda,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antigua and Barbuda,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antigua and Barbuda,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antigua and Barbuda,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antigua and Barbuda,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antigua and Barbuda,2010
40,0,0,0,0,,,,0.450202332,0,0,0,0,,Argentina,1920
0,0,0,0,0,,,,0,0,0,0,0,,Argentina,1930
1000,3500,12000,0,15500,,,,6.601007327,23.10352564,79.21208792,0,102.3156136,,Argentina,1940
0,0,0,0,0,,,,0,0,0,0,0,,Argentina,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,1960
7,10,0,4000,4010,0,0,8000,0.026255579,0.03750797,0,15.00318818,15.04069615,0.01408922,Argentina,1970
0.6,23.8,4500,0,4523.8,0,0,0,0.001985703,0.078766217,14.89277204,0,14.97153826,0,Argentina,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,1990
0,2.7,50,20,72.7,0,0,0,0,0.007165225,0.132689348,0.053075739,0.192930312,0,Argentina,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,2010
289,0,0,0,0,,,,25.50068252,0,0,0,0,,Armenia,1930
0,0,0,0,0,,,,0,0,0,0,0,,Armenia,1940
0,0,0,0,0,,,,0,0,0,0,0,,Armenia,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,1980
0,0,1500,0,1500,0,0,3333.3,0,0,47.87743377,0,47.87743377,0.203312922,Armenia,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,2010
4842.9,50.8,8765.7,3118.8,11935.3,,,,0.516690196,0.005431862,0.949381941,0.331342684,1.286156486,,Asia,1900
3473.4,251.2,0,7332.9,7584.1,,,,0.339642473,0.025394489,0,0.736197134,0.761591623,,Asia,1910
38548.6,10893.2,12946.3,21058.7,44898.2,,,,3.602518958,1.00983162,1.194662997,1.908112192,4.112606809,,Asia,1920
13111.9,4616.8,92,34617.3,39326.1,,,,1.096192165,0.387445255,0.007480871,2.905284602,3.300210727,,Asia,1930
3395.3,2980.1,1400,55385.7,59765.8,,,,0.259182219,0.223825504,0.108511317,4.180976112,4.513312933,,Asia,1940
1439.2,1415.8,6103,16634.4,24153.2,,,,0.093142654,0.089589136,0.403451579,1.157698626,1.650739341,,Asia,1950
3054.9,1609.1,75721.3,20062,97392.4,0,500,119140,0.15971351,0.08325275,3.896376152,1.001375763,4.981004664,0.047067006,Asia,1960
32729.5,22094.6,176971.6,68680.5,267746.7,0,200,701075.5,1.344812296,0.906188835,7.259512894,2.679086254,10.84478798,0.054407117,Asia,1970
890.3,3155.2,2369231.6,53654.5,2426041.3,0,0,241367.7,0.03147961,0.111477382,76.98608738,1.764371617,78.86193638,0.008516206,Asia,1980
9539.3,30101.5,1749248.8,414497.5,2193847.8,3500000,625890,14922491.3,0.280638289,0.879391754,49.51214215,11.66956014,62.06109404,0.179704627,Asia,1990
44765.3,92413,6734036,1065689,7892138,520000,330204.1,15774591.9,1.128751966,2.312901551,166.2247183,27.10901116,195.646631,0.11191155,Asia,2000
4225.1,19761.6,2354165.4,64872.8,2438799.8,160530,4325600,26672187.1,0.097465593,0.45118115,53.38853216,1.489599429,55.32931274,0.109970241,Asia,2010
0,0,0,0,0,,,,0,0,0,0,0,,Australia,1930
0,0,0,0,0,,,,0,0,0,0,0,,Australia,1940
0,0,0,0,0,,,,0,0,0,0,0,,Australia,1950
0,1.6,387.4,40,429,0,0,260,0,0.013097577,3.171250819,0.327439424,3.511787819,0.000795947,Australia,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia,1970
1.2,11.5,200,0,211.5,0,39600,100000,0.00717961,0.068804595,1.196601651,0,1.265406246,0.033414419,Australia,1980
0,0.5,500,2,502.5,0,0,0,0,0.002809147,2.809146581,0.011236586,2.823192314,0,Australia,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia,2010
0,0,0,0,0,,,,0,0,0,0,0,,Austria,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,2010
8.6,6,1748,0,1754,,,,0.458706299,0.32002765,93.23472215,0,93.5547498,,Azerbaijan,1900
0,0,0,0,0,,,,0,0,0,0,0,,Azerbaijan,1910
0,0,0,0,0,,,,0,0,0,0,0,,Azerbaijan,1920
0,0,0,0,0,,,,0,0,0,0,0,,Azerbaijan,1930
0,0,0,0,0,,,,0,0,0,0,0,,Azerbaijan,1940
0,0,0,0,0,,,,0,0,0,0,0,,Azerbaijan,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Azerbaijan,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Azerbaijan,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Azerbaijan,1980
0.2,2.8,70075,840,70917.8,0,0,500,0.002493184,0.034864788,877.0263332,10.4296002,887.4907982,0.010913618,Azerbaijan,1990
3.1,60,269.4,0,329.4,0,0,1000,0.03816324,0.738643358,3.316508679,0,4.055152037,0.018965261,Azerbaijan,2000
0,5,1550,694.9,2249.9,0,0,0,0,0.053966541,16.72962763,7.500269833,24.283864,0,Azerbaijan,2010
0,0,0,0,0,,,,0,0,0,0,0,,Bahamas,1920
0,0,0,0,0,,,,0,0,0,0,0,,Bahamas,1930
0,0,0,0,0,,,,0,0,0,0,0,,Bahamas,1940
0,0,0,0,0,,,,0,0,0,0,0,,Bahamas,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahamas,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahamas,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahamas,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahamas,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahamas,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahamas,2010
0,0,0,0,0,,,,0,0,0,0,0,,Bangladesh,1900
0,0,0,0,0,,,,0,0,0,0,0,,Bangladesh,1910
0,0,0,0,0,,,,0,0,0,0,0,,Bangladesh,1920
0,0,0,0,0,,,,0,0,0,0,0,,Bangladesh,1930
0,0,0,0,0,,,,0,0,0,0,0,,Bangladesh,1940
0,0,0,0,0,,,,0,0,0,0,0,,Bangladesh,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bangladesh,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bangladesh,1970
0.3,20,0,0,20,0,0,0,0.000303005,0.020115731,0,0,0.020115731,0,Bangladesh,1980
2.9,40,0,1500,1540,0,0,0,0.00239337,0.032620052,0,1.198178768,1.230798821,0,Bangladesh,1990
0.4,2.5,350,0,352.5,0,0,50000,0.000294377,0.001854709,0.263805247,0,0.265659957,0.076794836,Bangladesh,2000
0.9,27,0,0,27,0,0,0,0.000572492,0.017230533,0,0,0.017230533,0,Bangladesh,2010
0,0,0,0,0,,,,0,0,0,0,0,,Barbados,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbados,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbados,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbados,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbados,1990
0,0.1,0,0,0.1,0,0,0,0,0.035842294,0,0,0.035842294,0,Barbados,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbados,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belarus,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belarus,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belarus,2010
0,0,0,0,0,,,,0,0,0,0,0,,Belgium,1900
0,0,0,0,0,,,,0,0,0,0,0,,Belgium,1910
0,0,0,0,0,,,,0,0,0,0,0,,Belgium,1920
0,0,0,0,0,,,,0,0,0,0,0,,Belgium,1930
0,0,0,0,0,,,,0,0,0,0,0,,Belgium,1940
0,0,0,0,0,,,,0,0,0,0,0,,Belgium,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,1970
0.2,3,100,0,103,0,0,5000,0.00202061,0.030309153,1.010305112,0,1.040614266,0.005734982,Belgium,1980
0,0,0,0,0,0,0,10000,0,0,0,0,0,0.00425927,Belgium,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,2010
0,0,0,0,0,,,,0,0,0,0,0,,Belize,1930
0,0,0,0,0,,,,0,0,0,0,0,,Belize,1940
0,0,0,0,0,,,,0,0,0,0,0,,Belize,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belize,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belize,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belize,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belize,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belize,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belize,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benin,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benin,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benin,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benin,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benin,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benin,2010
0,0,0,0,0,,,,0,0,0,0,0,,Bermuda,1940
0,0,0,0,0,,,,0,0,0,0,0,,Bermuda,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bermuda,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bermuda,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bermuda,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bermuda,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bermuda,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bhutan,1990
1.1,1.2,0,0,1.2,0,0,0,0.162241888,0.17699115,0,0,0.17699115,0,Bhutan,2000
0.1,1.6,2000,0,2001.6,0,0,0,0.014430014,0.230880231,288.6002886,0,288.8311688,0,Bhutan,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bolivia,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bolivia,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bolivia,1980
10,5,1110,690,1805,0,0,0,0.124023535,0.061751266,13.70878103,8.521674694,22.29220699,0,Bolivia,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bolivia,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bolivia,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bosnia and Herzegovina,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bosnia and Herzegovina,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bosnia and Herzegovina,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botswana,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botswana,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botswana,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botswana,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botswana,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botswana,2010
0,0,0,0,0,,,,0,0,0,0,0,,Brazil,1940
0,0,0,0,0,,,,0,0,0,0,0,,Brazil,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil,1970
0.1,0,1500,800,2300,0,0,500,0.0000724,0,1.086098724,0.579252653,1.665351377,0.000186472,Brazil,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil,1990
0.1,0.6,28,0,28.6,0,0,0,0.0000526,0.000315574,0.014726766,0,0.015042339,0,Brazil,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,British Virgin Islands,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,British Virgin Islands,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,British Virgin Islands,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brunei,1990
10.7,0,0,0,0,,,,0.181964341,0,0,0,0,,Bulgaria,1920
0,0,0,0,0,,,,0,0,0,0,0,,Bulgaria,1930
0,0,0,0,0,,,,0,0,0,0,0,,Bulgaria,1940
0,0,0,0,0,,,,0,0,0,0,0,,Bulgaria,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bulgaria,1960
2,16.5,0,0,16.5,0,0,0,0.022722109,0.187457396,0,0,0.187457396,0,Bulgaria,1970
0.3,6,0,300,306,0,0,0,0.003343363,0.066867268,0,3.343363424,3.410230692,0,Bulgaria,1980
0.1,0,0,0,0,0,0,0,0.001131094,0,0,0,0,0,Bulgaria,1990
0,0.2,52.5,0,52.7,0,0,0,0,0.002620888,0.687983226,0,0.690604115,0,Bulgaria,2000
0,7,14,0,21,0,0,0,0,0.095445869,0.190891737,0,0.286337606,0,Bulgaria,2010
0,0,0,0,0,,,,0,0,0,0,0,,Burkina Faso,1910
0,0,0,0,0,,,,0,0,0,0,0,,Burkina Faso,1920
0,0,0,0,0,,,,0,0,0,0,0,,Burkina Faso,1930
0,0,0,0,0,,,,0,0,0,0,0,,Burkina Faso,1940
0,0,0,0,0,,,,0,0,0,0,0,,Burkina Faso,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burkina Faso,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burkina Faso,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burkina Faso,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burkina Faso,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burkina Faso,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burkina Faso,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burundi,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burundi,1990
0.3,0,0,12,12,0,0,0,0.004206394,0,0,0.168255749,0.168255749,0,Burundi,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burundi,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cambodia,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cambodia,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cambodia,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cambodia,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cameroon,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cameroon,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cameroon,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cameroon,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cameroon,2010
0,0,0,0,0,,,,0,0,0,0,0,,Canada,1900
0,0,0,0,0,,,,0,0,0,0,0,,Canada,1910
2.7,0,0,0,0,,,,0.0268074,0,0,0,0,,Canada,1920
0,0,0,0,0,,,,0,0,0,0,0,,Canada,1930
0,0,0,0,0,,,,0,0,0,0,0,,Canada,1940
0,0,0,0,0,,,,0,0,0,0,0,,Canada,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,2010
0,0,0,0,0,,,,0,0,0,0,0,,Cape Verde,1900
0,0,0,0,0,,,,0,0,0,0,0,,Cape Verde,1910
0,0,0,0,0,,,,0,0,0,0,0,,Cape Verde,1920
0,0,0,0,0,,,,0,0,0,0,0,,Cape Verde,1930
0,0,0,0,0,,,,0,0,0,0,0,,Cape Verde,1940
0,0,0,0,0,,,,0,0,0,0,0,,Cape Verde,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cape Verde,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cape Verde,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cape Verde,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cape Verde,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cape Verde,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cape Verde,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cayman Islands,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central African Republic,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central African Republic,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central African Republic,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central African Republic,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central African Republic,2010
0,0,0,0,0,,,,0,0,0,0,0,,Chad,1910
0,0,0,0,0,,,,0,0,0,0,0,,Chad,1920
0,0,0,0,0,,,,0,0,0,0,0,,Chad,1930
0,0,0,0,0,,,,0,0,0,0,0,,Chad,1940
0,0,0,0,0,,,,0,0,0,0,0,,Chad,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad,2010
2000,0,0,0,0,,,,62.13132823,0,0,0,0,,Chile,1900
0,0,0,0,0,,,,0,0,0,0,0,,Chile,1910
122,0,0,0,0,,,,3.096807627,0,0,0,0,,Chile,1920
3000,5850,0,0,5850,,,,59.37910829,115.7892612,0,0,115.7892612,,Chile,1930
5.5,20.8,0,0,20.8,,,,0.092995649,0.349005498,0,0,0.349005498,,Chile,1940
1.5,9,0,0,9,,,,0.021379704,0.123258289,0,0,0.123258289,,Chile,1950
640.4,335.6,202300,0,202635.6,0,0,67540,7.826660504,4.084552461,2484.641732,0,2488.726284,1.546179087,Chile,1960
8.5,45.1,234852.2,0,234897.3,0,0,23640,0.085487277,0.453585437,2361.985316,0,2362.438902,0.217197269,Chile,1970
18.9,261.9,98129.2,50500,148891.1,0,9000,150200,0.154168702,2.134522274,800.6330766,411.8849199,1214.652519,0.848260086,Chile,1980
1.1,15.6,4120,1357.5,5493.1,0,0,4966,0.007496609,0.106609905,27.88705166,9.191933749,37.18559532,0.005876239,Chile,1990
2.3,33.7,5246.3,0,5280,0,4000,10500,0.014056785,0.206232601,32.09429439,0,32.30052699,0.006166789,Chile,2000
59,1036.3,308115.6,80000,389151.9,0,835000,3100000,0.344949982,6.072772987,1773.502347,468.8507296,2248.42585,1.413138505,Chile,2010
1480.1,0,1000,0,1000,,,,0.35710198,0,0.241437524,0,0.241437524,,China,1900
1291.2,11.2,0,0,11.2,,,,0.280912799,0.002558548,0,0,0.002558548,,China,1910
23102.4,52.4,0,13487,13539.4,,,,4.872763191,0.010814588,0,2.783737902,2.794552489,,China,1920
2107.7,3.1,0,7069.5,7072.6,,,,0.423935021,0.000609409,0,1.389795589,1.390404998,,China,1930
139.6,193.5,0,10673.5,10867,,,,0.026081561,0.036241143,0,2.041791666,2.078032809,,China,1940
9.3,11.3,0,15362,15373.3,,,,0.001563921,0.001845675,0,2.693927161,2.695772836,,China,1950
300,0,0,5589.5,5589.5,0,0,0,0.037221491,0,0,0.694970834,0.694970834,0,China,1960
27404.2,16719.5,200,57238.5,74158,0,0,560000,2.93013693,1.772110898,0.020281261,5.805270377,7.597662536,0.363778095,China,1970
126.4,735.5,136488.5,44264,181488,0,0,48700,0.011346055,0.067486408,12.03920467,3.889690701,15.99638178,0.01488057,China,1980
64,3544.9,961023.4,220112.6,1184680.9,0,0,112970,0.005174061,0.282888651,76.28036391,17.57061865,94.13387121,0.013483877,China,1990
8794.7,38782.9,5267437.7,168128.6,5474349.2,0,31000,8699220.7,0.649820616,2.869016696,390.6350072,12.72900724,406.2330312,0.192991716,China,2000
421.9,7167.1,787268.3,22203.7,816639.1,0,6800,1824145,0.030637398,0.517561221,56.39973527,1.61018789,58.52748438,0.018512191,China,2010
40,0,0,0,0,,,,0.864309278,0,0,0,0,,Colombia,1900
